indicatorId,geoUnit,year,type,subtype,value
PRYA.12MO.AG15T24.F,AUT,2004,Source,Data sources,"UIS based on AUT - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None. Reference period: last four weeks"
PRYA.12MO.AG15T24.F,AUT,2005,Source,Data sources,"UIS based on AUT - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None. Reference period: last four weeks"
PRYA.12MO.AG15T24.F,AUT,2006,Source,Data sources,"UIS based on AUT - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None. Reference period: last four weeks"
PRYA.12MO.AG15T24.F,AUT,2007,Source,Data sources,"UIS based on AUT - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None. Reference period: last four weeks"
PRYA.12MO.AG15T24.F,AUT,2008,Source,Data sources,"UIS based on AUT - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None. Reference period: last four weeks"
PRYA.12MO.AG15T24.F,AUT,2009,Source,Data sources,"UIS based on AUT - LFS - EU Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None. Reference period: last four weeks"
PRYA.12MO.AG15T24.F,AUT,2010,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2011,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2012,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2013,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2014,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2015,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2016,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2017,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2018,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2019,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2020,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2021,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2022,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUT,2023,Source,Data sources,"UIS based on UIS based on AUT - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,BDI,2006,Source,Data sources,"UIS based on BDI - HIES - Living Standards Survey - Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old | Age coverage - maximum age: None. Reference period: not specified"
PRYA.12MO.AG15T24.F,BDI,2014,Source,Data sources,"UIS based on UIS based on BDI - HIES - Living Standards Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,BDI,2020,Source,Data sources,"UIS based on UIS based on BDI - HIES - Living Standards Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
