region,region_type,year,access,pcnt
Eastern Mediterranean,WHO,2017,unimproved,4.69
Eastern Mediterranean,WHO,2017,surface,1.79
Eastern Mediterranean,WHO,2018,safe,64.91
Eastern Mediterranean,WHO,2018,basic,23.65
Eastern Mediterranean,WHO,2018,limited,5.48
Eastern Mediterranean,WHO,2018,unimproved,4.36
Eastern Mediterranean,WHO,2018,surface,1.61
Eastern Mediterranean,WHO,2019,safe,65.48
Eastern Mediterranean,WHO,2019,basic,23.49
Eastern Mediterranean,WHO,2019,limited,5.57
Eastern Mediterranean,WHO,2019,unimproved,4.03
Eastern Mediterranean,WHO,2019,surface,1.43
Eastern Mediterranean,WHO,2020,safe,65.99
Eastern Mediterranean,WHO,2020,basic,23.36
Eastern Mediterranean,WHO,2020,limited,5.66
Eastern Mediterranean,WHO,2020,unimproved,3.73
Eastern Mediterranean,WHO,2020,surface,1.26
Eastern Mediterranean,WHO,2021,safe,66.47
Eastern Mediterranean,WHO,2021,basic,23.23
Eastern Mediterranean,WHO,2021,limited,5.76
Eastern Mediterranean,WHO,2021,unimproved,3.42
Eastern Mediterranean,WHO,2021,surface,1.12
Eastern Mediterranean,WHO,2022,safe,66.86
Eastern Mediterranean,WHO,2022,basic,23.08
Eastern Mediterranean,WHO,2022,limited,5.8
Eastern Mediterranean,WHO,2022,unimproved,3.26
Eastern Mediterranean,WHO,2022,surface,1
Eastern and South-Eastern Asia,SDG,2000,safe,67.83
Eastern and South-Eastern Asia,SDG,2000,basic,12.37
Eastern and South-Eastern Asia,SDG,2000,limited,0.93
Eastern and South-Eastern Asia,SDG,2000,unimproved,15.65
Eastern and South-Eastern Asia,SDG,2000,surface,3.23
Eastern and South-Eastern Asia,SDG,2001,safe,68.33
Eastern and South-Eastern Asia,SDG,2001,basic,12.31
Eastern and South-Eastern Asia,SDG,2001,limited,0.92
Eastern and South-Eastern Asia,SDG,2001,unimproved,15.3
Eastern and South-Eastern Asia,SDG,2001,surface,3.14
Eastern and South-Eastern Asia,SDG,2002,safe,69.59
Eastern and South-Eastern Asia,SDG,2002,basic,12.4
Eastern and South-Eastern Asia,SDG,2002,limited,0.93
Eastern and South-Eastern Asia,SDG,2002,unimproved,14.08
Eastern and South-Eastern Asia,SDG,2002,surface,3
Eastern and South-Eastern Asia,SDG,2003,safe,70.35
Eastern and South-Eastern Asia,SDG,2003,basic,12.59
Eastern and South-Eastern Asia,SDG,2003,limited,0.95
Eastern and South-Eastern Asia,SDG,2003,unimproved,13.2
Eastern and South-Eastern Asia,SDG,2003,surface,2.92
Eastern and South-Eastern Asia,SDG,2004,safe,71.09
Eastern and South-Eastern Asia,SDG,2004,basic,12.77
Eastern and South-Eastern Asia,SDG,2004,limited,0.96
Eastern and South-Eastern Asia,SDG,2004,unimproved,12.35
Eastern and South-Eastern Asia,SDG,2004,surface,2.83
Eastern and South-Eastern Asia,SDG,2005,safe,71.81
Eastern and South-Eastern Asia,SDG,2005,basic,12.94
Eastern and South-Eastern Asia,SDG,2005,limited,0.98
Eastern and South-Eastern Asia,SDG,2005,unimproved,11.61
Eastern and South-Eastern Asia,SDG,2005,surface,2.66
